date,open,high,low,close,volume
2015-06-04,29.613,29.6913,29.2117,29.3879,1222693
2015-06-05,29.1823,29.5151,29.1431,29.4172,1389931
2015-06-08,28.8495,28.9963,28.5558,28.6537,1287304
2015-06-09,28.4089,28.6047,28.1936,28.5264,1550147
2015-06-10,29.1431,29.5249,29.104,29.3487,864051
2015-06-11,29.8871,30.0438,29.7599,29.8676,746007
2015-06-12,29.7305,29.8871,29.7011,29.799,621328
2015-06-15,30.0046,30.2493,29.8088,30.034,1010365
2015-06-16,29.7599,29.9508,29.6816,29.799,748150
2015-06-17,29.241,29.3879,29.1529,29.3194,1066639
2015-06-18,29.3291,29.6032,29.3291,29.5543,564015
2015-06-19,29.241,29.3389,29.011,29.0452,721408
2015-06-22,29.6816,29.9263,29.6375,29.8578,787675
2015-06-23,30.2004,30.3962,30.1906,30.357,712848
2015-06-24,29.9557,30.0585,29.8186,29.8676,734497
2015-06-25,30.7388,31.0325,30.4647,30.4941,1122656
2015-06-26,30.7584,30.7682,30.3962,30.5137,937579
2015-06-29,30.1906,30.2396,29.6718,29.7207,1250909
2015-06-30,28.0859,28.4481,27.7237,27.7922,2841556
2015-07-01,27.8705,28.3796,27.7041,27.9097,1106883
2015-07-02,27.9586,28.0467,27.7149,27.7922,761380
2015-07-06,27.5083,27.7726,27.3125,27.4496,695042
2015-07-07,27.5181,27.616,27.1167,27.5768,1178265
2015-07-08,26.9111,27.0874,26.2014,26.2455,1531250
2015-07-09,27.2538,27.5083,26.7056,26.7839,2573264
2015-07-10,27.6845,28.125,27.6454,27.802,4510423
2015-07-13,28.1446,28.5487,27.8803,28.0663,6232177
2015-07-14,27.7726,27.8216,27.6747,27.7041,1555179
2015-07-15,27.5083,27.5768,27.2929,27.3321,1259977
2015-07-16,27.5866,27.6845,27.381,27.3908,1412925
2015-07-17,27.8607,27.8607,27.5083,27.5279,1064346
2015-07-20,27.5866,27.6225,27.381,27.5181,1392284
2015-07-21,27.9195,28.1153,27.8118,27.8509,3538245
2015-07-22,27.8509,27.9488,27.7251,27.7824,996953
2015-07-23,28.7809,28.8788,28.5362,28.5851,1516902
2015-07-24,28.9278,29.0746,28.5166,28.6537,2232747
2015-07-27,28.3991,28.4579,27.9978,28.2719,2822550
2015-07-28,28.4089,28.6341,28.125,28.6243,994752
2015-07-29,28.7124,28.9865,28.7075,28.918,985194
2015-07-30,29.2998,29.3585,28.3502,28.5068,2118358
2015-07-31,27.9195,27.9978,27.7041,27.753,1106848
2015-08-03,27.3223,27.3908,26.9895,27.1755,1447501
2015-08-04,26.9209,26.9601,26.6175,26.7839,1362719
2015-08-05,26.5392,26.6958,26.4315,26.5392,1342083
2015-08-06,26.2259,26.2944,25.893,26.0007,1151263
2015-08-07,26.1084,26.2748,25.9909,26.265,624231
2015-08-10,26.3042,26.5979,26.3042,26.5783,673784
